year,pov100,simpov100,pov200,simpov200,povrate100,simrate100,povrate200,simrate200,sex,black
2007,18631559.99000012,18701296.28000011,44907389.18999989,45003348.98999993,.10630947,.10670738,.25623626,.25678378,,
2008,20070376.24000002,19857582.79999998,48033116.25000013,47970937.37000015,.11383007,.1126232,.27242205,.27206939,,
2009,22411415.64000003,22315024.14999999,51358268.77999951,51494565.74999952,.12660424,.12605971,.29012778,.29089776,,
2010,23812907.55999987,23613122.02999983,52856819.92999981,52820195.79999978,.13371143,.13258961,.29679537,.29658973,,
2011,23997325.74999995,23924666.24999998,54081586.07000025,54270941.52000017,.13438506,.13397817,.30285698,.30391738,,
2012,22585740.43999993,22654821.37999993,51541979.58000008,51656379.47000023,.13103744,.13143824,.2990351,.29969883,,
2013,44931724.51000004,45042789.28999995,103800574.6000008,104288461.8400009,.1289615,.12928028,.29792488,.2993252,,
2014,22873325.76000012,22953212.45000008,51594613.67999905,52031608.04999897,.12990957,.1303633,.2930328,.29551473,,
2015,20767129.55999995,20855889.83999997,48263985.91999982,48619064.95999993,.11752412,.11802642,.27313271,.27514216,,
2016,19372819.50000007,19569068.97000008,44865957.42000012,45652556.27000022,.1095359,.11064551,.25367668,.2581242,,
2017,18928687.05999995,18955389.99999992,45377158.84000043,45629801.06000046,.10628879,.10643873,.25480285,.25622147,,
2018,18154395.21999999,18019229.72000002,44340603.41999988,44541441.07999981,.10183955,.10108132,.24873464,.24986127,,
2019,16254060.28020005,15940955.40960006,40721961.36459984,40747172.85329977,.090037994,.088303581,.22557588,.22571553,,
2020,18381136.00010005,18008412.15950005,43081043.85590008,43017472.71389985,.10157773,.099517986,.23807421,.2377229,,
2021,18451612.78999992,18162862.72999993,43220489.15999997,43435969.29000004,.10186396,.10026988,.238603,.23979257,,
2022,18417572.51999994,17894902.20999997,43258191.64999984,43302691.90999991,.10130314,.098428272,.2379353,.23818007,,
2007,7740911.609999999,8331062.910000003,20390356.72999996,20991155.02999996,.088920556,.095699683,.23422588,.24112731,Male,
2007,10890648.38000003,10370233.37000003,24517032.45999992,24012193.95999993,.12347182,.11757166,.27795982,.27223626,Female,
2008,8564315.52,8911330.890000008,21952219.46999992,22453773.49999986,.097693674,.1016521,.25041032,.25613159,Male,
2008,11506060.72000001,10946251.90999998,26080896.78000015,25517163.87000017,.12978649,.12347194,.29418826,.28782946,Female,
