year,pov100,pov200,povrate100,povrate200,sex,black
2007,18631559.99000012,44907389.18999989,.10630947,.25623626,,
2008,20070376.24000002,48033116.25000013,.11383007,.27242205,,
2009,22411415.64000003,51358268.77999951,.12660424,.29012778,,
2010,23812907.55999987,52856819.92999981,.13371143,.29679537,,
2011,23997325.74999995,54081586.07000025,.13438506,.30285698,,
2012,22585740.43999993,51541979.58000008,.13103744,.2990351,,
2013,44931724.51000004,103800574.6000008,.1289615,.29792488,,
2014,22873325.76000012,51594613.67999905,.12990957,.2930328,,
2015,20767129.55999995,48263985.91999982,.11752412,.27313271,,
2016,19372819.50000007,44865957.42000012,.1095359,.25367668,,
2017,18928687.05999995,45377158.84000043,.10628879,.25480285,,
2018,18154395.21999999,44340603.41999988,.10183955,.24873464,,
2019,16254060.28020005,40721961.36459984,.090037994,.22557588,,
2020,18381136.00010005,43081043.85590008,.10157773,.23807421,,
2021,18451612.78999992,43220489.15999997,.10186396,.238603,,
2022,18417572.51999994,43258191.64999984,.10130314,.2379353,,
2007,7740911.609999996,20390356.72999994,.088920556,.23422588,Male,
2007,10890648.38000003,24517032.45999996,.12347182,.27795982,Female,
2008,8564315.520000001,21952219.47000014,.097693674,.25041032,Male,
2008,11506060.72000002,26080896.78000012,.12978649,.29418826,Female,
2009,9484675.370000016,23399346.66000012,.10884584,.26853019,Male,
2009,12926740.26999994,27958922.11999993,.14382082,.31106645,Female,
2010,10148706.68999999,24044354.37999997,.1157001,.27411711,Male,
2010,13664200.87000008,28812465.54999996,.15119252,.31880599,Female,
2011,10047323.39000003,24504986.19,.11431153,.27880087,Male,
2011,13950002.35999999,29576599.88000016,.15384254,.3261748,Female,
2012,9637784.639999982,23670435.94999999,.11276892,.27696091,Male,
2012,12947955.8,27871543.62999988,.14900509,.32074574,Female,
2013,18912374.27999998,47510499.97000009,.109477,.27502134,Male,
2013,26019350.23000003,56290074.63000027,.14812347,.32044926,Female,
2014,9530797.399999985,23220535.35999995,.10906465,.26572171,Male,
2014,13342528.36000003,28374078.31999981,.15044947,.31994423,Female,
2015,8673690.090000005,21663437.69000001,.098818108,.24680845,Male,
2015,12093439.46999991,26600548.22999995,.13598682,.29911458,Female,
2016,7837887.279999991,19962719.65000004,.089340568,.22754611,Male,
2016,11534932.21999997,24903237.77000017,.12941357,.2793963,Female,
2017,7688742.230000011,20135929.88999993,.086883806,.22753866,Male,
2017,11239944.82999998,25241228.95000021,.1254559,.2817328,Female,
2018,7382526.740000005,19607807.58999997,.083472453,.22170076,Male,
2018,10771868.48000001,24732795.82999987,.11992459,.2753534,Female,
2019,6856177.380100002,18518834.47399996,.07599096,.2052549,Male,
2019,9397882.900099998,22203126.89060001,.10407302,.24587947,Female,
2020,7809032.740599993,19694763.08670007,.085901253,.21664716,Male,
2020,10572103.25949999,23386280.76919996,.11740354,.25970539,Female,
2021,8076681.069999999,19685836.93000005,.088898852,.21667914,Male,
2021,10374931.72,23534652.22999999,.11491023,.26066411,Female,
2022,8033684.610000008,20071317.71999995,.087595545,.21884827,Male,
2022,10383887.90999998,23186873.93000004,.11525726,.25736561,Female,
2007,14411410.56000002,36381621.15999972,.093736775,.23663858,,0
2007,4220149.430000002,8525768.029999997,.19615509,.39628285,,1
2008,15650570.73000004,38982760.07000007,.1012604,.25222147,,0
2008,4419805.510000003,9050356.179999981,.20310578,.41589606,,1
2009,17523447.16999995,41450021.15999962,.11326814,.26792485,,0
2009,4887968.470000002,9908247.620000023,.2190752,.44408047,,1
2010,18660116.91000003,42787833.69999994,.11991976,.27497721,,0
2010,5152790.649999996,10068986.23000002,.22914758,.44777367,,1
2011,18559329.39000007,43711976.62999975,.11905003,.28039333,,0
2011,5437996.360000007,10369609.44000006,.23981105,.45729104,,1
2012,17500264.45999999,41745771,.11617289,.27712306,,0
2012,5085475.979999992,9796208.580000017,.23412558,.45099869,,1
2013,34720916.0699999,83694318.91000013,.1142416,.2753779,,0
2013,10210808.44000001,20106255.68999995,.22952558,.45196226,,1
2014,17796682.49000005,41691344.68000023,.11613627,.27206627,,0
2014,5076643.27,9903269.000000024,.22235304,.43375549,,1
2015,15933463.69999996,38593466.86999997,.10369582,.25116834,,0
2015,4833665.859999998,9670519.050000012,.20970827,.41955483,,1
2016,15081487.84999998,35997688.55000012,.098078601,.23410176,,0
2016,4291331.64999999,8868268.869999964,.18582545,.38401833,,1
2017,14667978.41000004,36198998.33000026,.094983496,.23440908,,0
2017,4260708.649999999,9178160.509999983,.18007511,.38790688,,1
2018,13975575.63999996,35500668.57000017,.090454355,.22977158,,0
2018,4178819.579999999,8839934.850000001,.17587246,.37204313,,1
2019,12495147.89899998,32410199.23859987,.079969428,.20742652,,0
2019,3758912.381199997,8311762.125999996,.15484455,.34239456,,1
2020,14229768.99440001,34502984.01669987,.090938389,.22049873,,0
2020,4151367.005699998,8578059.83919999,.16958658,.35042045,,1
2021,14415541.30999997,34596726.79999992,.091993198,.22078001,,0
2021,4036071.48,8623762.360000003,.16515893,.35289052,,1
2022,14804486.80999998,35098129.63999971,.094238281,.22341789,,0
2022,3613085.709999993,8160062.010000006,.14621834,.33023041,,1
